Loci	LG	cM
62039	VI	9.49
54821	VI	9.49
18155	VI	9.49
47097	VI	10.59
6993	VI	10.59
40744	VI	10.59
22379	VI	11.68
53757	VI	11.68
45669	VI	12.82
57674	VI	14.93
9283	VI	14.93
62415	VI	14.93
17819	VI	15.98
3539	VI	19.15
23006	VI	19.15
42922	VI	19.15
36469	VI	19.15
14472	VI	20.76
28552	VI	22.35
54314	VI	30.93
19082	VI	30.93
3739	VI	31.96
8220	VI	31.96
63264	VI	31.96
17818	VI	34.64
59379	VI	37.32
17079	VI	37.32
55418	VI	38.36
62454	VI	38.36
60973	VI	38.36
40891	VI	38.36
13650	VI	38.36
56127	VI	38.36
29377	VI	38.36
33873	VI	38.36
56075	VI	38.36
38252	VI	38.36
31831	VI	38.36
29931	VI	38.36
15599	VI	39.42
50280	VI	39.42
3322	VI	39.42
19622	VI	39.42
8732	VI	43.08
65349	VI	47.34
33047	VI	47.34
42376	VI	47.34
12997	VI	48.52
5670	VI	52.19
16999	VI	52.19
36588	VI	52.19
65305	VI	52.19
57970	VII	0.00
3257	VII	0.00
32822	VII	0.00
57233	VII	0.00
34827	VII	0.00
49932	VII	0.00
62108	VII	0.00
52124	VII	0.00
20058	VII	1.05
43507	VII	1.05
62567	VII	2.11
40921	VII	3.16
28980	VII	4.21
14939	VII	4.21
44902	VII	4.21
1038	VII	4.21
62868	VII	4.21
54818	VII	4.21
20573	VII	4.21
2625	VII	4.21
49287	VII	5.79
62085	VII	7.38
52625	VII	8.44
62348	VII	8.44
2951	VII	8.44
48693	VII	8.44
35507	VII	11.61
12508	VII	12.66
15045	VII	13.71
17827	VII	13.71
34878	VII	13.71
32870	VII	13.71
57486	VII	15.82
12554	VII	15.82
17489	VII	15.82
14055	VII	15.82
53812	VII	17.93
62377	VII	20.04
57615	VII	20.04
17869	VII	20.04
21827	VII	22.61
4952	VII	22.61
50030	VII	26.48
59702	VII	26.48
52836	VII	28.58
15752	VII	28.58
52589	VII	28.58
18755	VII	30.69
18440	VII	30.69
61396	VII	30.69
43718	VII	30.69
27631	VII	35.00
9830	VII	37.06
14750	VII	37.06
1975	VII	38.12
61289	VII	38.12
49096	VII	39.13
36292	VII	39.13
31126	VII	39.13
20606	VII	39.13
18039	VII	39.13
2263	VII	39.13
33689	VII	39.13
3838	VII	39.13
18419	VII	40.19
56524	VII	40.19
18384	VII	40.19
11478	VII	40.19
1015	VII	40.19
52740	VII	41.41
57699	VII	41.41
2609	VII	41.41
16293	VII	41.41
17317	VII	42.51
19598	VII	43.70
53921	VII	45.99
35184	VII	45.99
63755	VII	45.99
2587	VII	45.99
48792	VII	45.99
14084	VII	45.99
3968	VII	45.99
41073	VII	48.10
32997	VII	50.22
35043	VII	50.22
41733	VII	52.44
17782	VII	52.44
16858	VII	52.44
1622	VII	52.44
21088	VIII	2.15
14591	VIII	2.15
3147	VIII	3.22
32199	VIII	6.40
54059	VIII	6.40
31906	VIII	8.51
5107	VIII	10.62
54279	VIII	10.62
2171	VIII	11.66
40605	VIII	11.66
32575	VIII	15.12
19800	VIII	16.29
19075	VIII	26.09
59658	VIII	27.23
63814	VIII	40.95
10736	VIII	40.95
53004	VIII	40.95
28220	VIII	40.95
1007	VIII	40.95
42311	VIII	40.95
4199	VIII	40.95
50173	VIII	40.95
2396	VIII	40.95
1558	VIII	40.95
46574	VIII	40.95
62360	VIII	40.95
53376	VIII	40.95
659	VIII	40.95
56641	VIII	40.95
32897	VIII	40.95
63589	VIII	40.95
36647	VIII	40.95
64195	VIII	40.95
34526	VIII	40.95
57146	VIII	40.95
58895	VIII	40.95
14082	VIII	40.95
49424	VIII	40.95
4588	VIII	40.95
48106	VIII	40.95
40134	VIII	40.95
33322	VIII	40.95
18763	VIII	40.95
40599	VIII	42.00
60582	VIII	42.00
5620	VIII	42.00
18183	VIII	42.00
38654	VIII	42.00
38692	VIII	43.06
30562	VIII	43.06
14935	VIII	43.06
14295	VIII	46.24
31201	VIII	48.35
64686	VIII	50.45
60886	VIII	50.45
15104	VIII	50.45
51813	VIII	51.52
1116	VIII	52.62
12783	VIII	52.62
691	IX	0.00
2405	IX	0.00
53409	IX	0.00
1260	IX	0.00
63622	IX	0.00
55990	IX	0.00
4283	IX	0.00
8505	IX	1.06
36712	IX	1.06
2983	IX	6.37
58058	IX	6.37
2714	IX	6.37
23717	IX	6.37
32723	IX	7.42
5492	IX	12.97
27568	IX	12.97
15790	IX	14.97
40335	IX	14.97
20170	IX	18.06
38279	IX	19.58
3815	IX	21.11
20756	IX	21.11
20637	IX	21.11
21348	IX	23.46
7067	IX	23.46
17674	IX	23.46
47588	IX	23.46
32384	IX	23.46
58516	IX	24.51
3016	IX	24.51
4450	IX	26.62
31813	IX	26.62
29936	IX	28.73
1826	IX	28.73
3833	IX	28.73
4992	IX	29.79
22233	IX	29.79
7599	IX	29.79
60198	IX	29.79
41419	IX	29.79
21903	IX	29.79
37611	IX	30.84
15696	IX	30.84
63764	IX	31.89
17320	IX	31.89
27824	IX	32.95
2469	IX	32.95
18401	IX	32.95
51326	IX	34.00
6454	IX	34.00
64639	IX	34.00
58466	IX	35.05
3675	IX	35.05
2105	IX	35.05
31044	IX	35.05
42617	IX	36.89
49833	IX	38.72
41137	IX	39.92
2599	IX	39.92
19388	IX	42.53
25785	IX	43.84
20568	IX	43.84
10875	IX	47.77
17023	IX	50.12
18451	IX	50.12
52755	IX	50.12
34799	IX	51.18
51374	IX	51.18
54606	IX	51.18
47199	IX	51.18
27120	IX	51.18
24405	IX	51.18
52670	IX	52.23
53459	IX	52.23
1417	IX	52.23
41471	IX	54.34
27146	IX	54.34
62699	IX	54.34
50090	IX	55.39
38975	IX	55.39
28349	IX	55.39
61671	IX	55.39
61092	IX	55.39
22913	IX	55.39
2378	IX	55.39
14173	IX	56.44
13903	IX	57.50
40526	IX	57.50
2968	IX	57.50
19311	IX	57.50
19100	IX	57.50
15529	IX	57.50
17652	X	0.00
53275	X	8.22
20927	X	11.56
48601	X	12.76
29010	X	12.76
14420	X	14.03
29522	X	16.14
42879	X	16.14
43715	X	16.14
56760	X	16.14
21668	X	17.15
34857	X	17.15
31308	X	17.15
61785	X	17.15
18343	X	17.15
4038	X	17.15
65109	X	17.15
27495	X	17.15
11815	X	17.15
37756	X	18.20
13349	X	18.20
5402	X	19.26
1706	X	19.26
1008	X	21.36
33604	X	21.36
16905	X	21.36
20514	X	21.36
43917	X	22.42
3138	X	22.42
41934	X	22.42
14012	X	22.42
56647	X	23.47
5101	X	24.52
62939	X	25.68
55428	X	25.68
2006	X	25.68
43465	X	28.47
59593	X	32.67
33585	X	32.67
21860	X	32.67
59208	X	32.67
42873	X	34.42
15537	X	36.18
33455	X	36.18
19009	X	37.23
10670	X	37.23
3460	X	37.23
14406	X	37.23
58083	X	39.34
33659	X	39.34
25422	X	42.51
29608	X	42.51
21940	X	42.51
57669	X	42.51
26753	X	42.51
55180	X	42.51
60409	X	42.51
20088	X	45.04
50408	X	45.04
17315	X	48.86
52946	X	48.86
21552	X	49.91
64244	X	51.53
6443	X	51.53
6468	X	54.79
58658	X	54.79
19542	X	54.79
19141	X	54.79
20607	X	56.42
60090	X	56.42
30870	X	56.42
15244	X	56.42
64614	X	56.42
32942	X	56.42
50893	X	56.42
38208	X	56.42
4311	X	57.24
43002	XI	0.00
3614	XI	0.00
50660	XI	0.00
17844	XI	0.00
61271	XI	5.08
21210	XI	6.39
54890	XI	6.39
32750	XI	7.49
12148	XI	10.66
16851	XI	10.66
2541	XI	10.66
19410	XI	10.66
58804	XI	10.66
29040	XI	10.66
34596	XI	12.77
41866	XI	16.33
48526	XI	23.67
33484	XI	23.67
30850	XI	23.67
56915	XI	23.67
37484	XI	25.78
61831	XI	25.78
2214	XI	25.78
60601	XI	25.78
54860	XI	25.78
4235	XI	26.83
14465	XI	28.15
40262	XI	28.15
4182	XI	28.15
57403	XI	28.15
56843	XI	28.15
46219	XI	28.15
35853	XI	30.13
60004	XI	32.11
20175	XI	32.11
13300	XI	32.11
42031	XI	34.21
7734	XI	34.21
48621	XI	34.21
57250	XI	35.27
50389	XI	35.27
51417	XI	35.27
33451	XI	36.32
62218	XI	37.38
56213	XI	38.43
17798	XI	38.43
54822	XI	38.43
56929	XI	38.43
65105	XI	39.48
34736	XI	41.59
29189	XI	41.59
19077	XI	41.59
63614	XI	41.59
35226	XI	41.59
12067	XI	41.59
38607	XI	41.59
2574	XI	41.59
54189	XI	41.59
44741	XI	42.64
43233	XI	42.64
64308	XI	42.64
17552	XI	43.70
49909	XI	43.70
34328	XI	43.70
63545	XI	43.70
61982	XI	44.75
15749	XI	45.81
52066	XI	45.81
64023	XI	45.81
49654	XI	45.81
65544	XI	45.81
19114	XI	45.81
41258	XII	0.00
2506	XII	0.00
35497	XII	0.00
38876	XII	0.00
63366	XII	0.00
22907	XII	1.06
40474	XII	2.11
55790	XII	2.11
20320	XII	2.11
52094	XII	2.11
29034	XII	3.16
2879	XII	3.16
19289	XII	3.16
61395	XII	3.16
49623	XII	3.16
4635	XII	3.16
24809	XII	4.22
62584	XII	5.27
43058	XII	5.27
2651	XII	6.32
49949	XII	6.32
8662	XII	6.32
31389	XII	6.32
39354	XII	6.32
20596	XII	6.32
21823	XII	6.32
53372	XII	8.44
5113	XII	8.44
14953	XII	9.49
62107	XII	9.49
19713	XII	9.49
55184	XII	9.49
34496	XII	11.60
18387	XII	11.60
63052	XII	11.60
2509	XII	11.60
2921	XII	11.60
31643	XII	11.60
14838	XII	11.60
21951	XII	11.60
55739	XII	12.66
14056	XII	12.66
49536	XII	13.72
19479	XII	13.72
57446	XII	19.03
61398	XII	21.41
31136	XII	21.41
63480	XII	21.41
49906	XII	22.83
18061	XII	27.16
2525	XII	28.62
60921	XII	28.62
20959	XII	32.88
11953	XII	32.88
61224	XII	32.88
42340	XII	32.88
20680	XII	32.88
34124	XII	36.04
57445	XII	36.04
13727	XII	36.04
63074	XII	39.20
4456	XII	40.25
50248	XII	40.25
29237	XII	40.25
21247	XII	42.36
20657	XII	44.50
49419	XII	53.08
38616	XII	54.12
29616	XII	54.12
21103	XII	54.12
34689	XII	54.12
32170	XII	54.90
64533	XII	54.90
14813	XIII	0.00
1266	XIII	0.79
22247	XIII	0.79
1715	XIII	0.79
36885	XIII	2.27
53371	XIII	3.70
55164	XIII	11.24
59610	XIII	11.24
46072	XIII	11.24
63511	XIII	20.75
61441	XIII	23.03
52825	XIII	24.13
63490	XIII	24.13
58480	XIII	27.32
23980	XIII	27.32
1238	XIII	28.36
16506	XIII	28.36
8831	XIII	29.42
12236	XIII	30.46
61990	XIII	30.46
49570	XIII	30.46
32308	XIII	35.79
42767	XIII	38.52
35305	XIII	44.06
21769	XIII	45.45
47910	XIII	49.77
7687	XIII	49.77
20235	XIII	49.77
4002	XIII	50.86
52770	XIII	51.95
18430	XIII	51.95
17361	XIII	55.13
3159	XIII	56.72
36343	XIII	58.29
62743	XIII	58.29
61179	XIII	59.35
19717	XIII	59.35
36018	XIII	59.35
11891	XIII	60.40
30842	XIII	60.40
30898	XIII	60.40
54765	XIII	60.40
14169	XIII	60.40
1121	XIII	67.51
31080	XXIV	0.00
55058	XXIV	0.00
42751	XXIV	0.00
61411	XXIV	0.00
4361	XXIV	3.19
40186	XXIV	3.19
49829	XXIV	11.72
31175	XXIV	11.72
37977	XXIV	13.85
49351	XXIV	13.85
18689	XXIV	13.85
61691	XXIV	16.21
31344	XXIV	16.21
24930	XXIV	19.87
44104	XXIV	23.53
33686	XXIV	24.57
59154	XXIV	24.57
33542	XXIV	24.57
59533	XXIV	25.62
65490	XXIV	27.69
40181	XXIV	28.75
61511	XXIV	28.75
57508	XXIV	29.75
18844	XXIV	29.75
11260	XXIV	30.81
32419	XXIV	30.81
10449	XXIV	30.81
28007	XXIV	30.81
41383	XXIV	30.81
3648	XXIV	32.92
59170	XXIV	32.92
36738	XXIV	32.92
2809	XXIV	33.97
28538	XXIV	33.97
60747	XXIV	33.97
33386	XXIV	35.01
60603	XXIV	40.32
28681	XXIV	40.32
30638	XXIV	40.32
31332	XXIV	40.32
1431	XXIV	41.37
18435	XXIV	41.37
45112	XXIV	42.50
62206	XXIV	44.75
18614	XXIV	44.75
65565	XXIV	44.75
63014	XXIV	44.75
32600	XXIV	46.93
1339	XXIV	46.93
5963	XXIV	46.93
1362	XXIV	46.93
59271	XXIV	50.65
57628	XV	0.00
34804	XV	0.00
15203	XV	3.27
1216	XV	3.27
19788	XV	3.27
20239	XV	3.27
55835	XV	7.54
41847	XV	9.67
31100	XV	9.67
64250	XV	9.67
49465	XV	9.67
35265	XV	9.67
56944	XV	10.73
43252	XV	11.79
60988	XV	11.79
46322	XV	11.79
19939	XV	11.79
33830	XV	12.82
62687	XV	12.82
41075	XV	12.82
42296	XV	14.22
9240	XV	14.22
31994	XV	17.00
17082	XV	17.00
14414	XV	18.06
17897	XV	19.08
58688	XV	19.08
36057	XV	20.26
16126	XV	23.85
60882	XV	23.85
53873	XV	26.22
58247	XV	28.60
65117	XV	28.60
60797	XV	28.60
55316	XV	28.60
34638	XV	31.76
4633	XV	31.76
52315	XV	31.76
3407	XV	31.76
3552	XV	33.87
4145	XV	33.87
1633	XV	33.87
20925	XV	34.93
29395	XV	39.18
9	XV	40.42
52689	XV	45.52
31412	XV	45.52
60964	XV	45.52
18765	XV	45.52
50515	XV	45.52
53140	XV	48.95
64799	XV	48.95
28977	XV	50.10
42757	XV	50.10
29512	XV	57.01
13199	XV	57.01
56198	XV	59.31
22083	XV	59.31
27291	XV	59.31
20368	XVI	0.00
31846	XVI	0.00
50100	XVI	0.00
16149	XVI	1.06
62711	XVI	1.06
55454	XVI	1.06
51428	XVI	2.62
65510	XVI	7.42
59053	XVI	7.42
22585	XVI	7.42
6954	XVI	7.42
31776	XVI	8.47
34923	XVI	9.52
60959	XVI	9.52
62499	XVI	9.52
43354	XVI	10.58
35560	XVI	10.58
35589	XVI	11.63
46579	XVI	13.74
65499	XVI	16.91
61482	XVI	16.91
20672	XVI	16.91
55492	XVI	18.51
34960	XVI	20.11
55097	XVI	20.11
61959	XVI	20.11
36630	XVI	22.23
15950	XVI	22.23
38821	XVI	22.23
14224	XVI	23.26
38554	XVI	24.32
62616	XVI	24.32
20191	XVI	24.32
65458	XVI	24.32
3479	XVI	28.51
15621	XVI	37.09
17132	XVI	37.09
64073	XVI	38.15
21649	XVI	39.20
62370	XVI	39.20
14238	XVI	39.20
18024	XVI	39.20
18138	XVI	39.20
58063	XVI	39.20
20489	XVI	39.20
30571	XVI	39.20
58753	XVI	39.20
28137	XVI	39.20
35143	XVI	41.68
58078	XVI	44.16
45839	XVI	46.61
1370	XVI	46.61
60831	XVI	47.62
56042	XVI	47.62
39638	XVI	50.06
47937	XVI	55.03
62471	XVI	55.03
64410	XVI	55.03
57478	XVI	56.20
33031	XVI	56.20
63870	XVI	58.88
3785	XVI	66.78
2280	XVI	66.78
3058	XVI	66.78
57011	XVI	66.78
20849	XVI	66.78
61269	XVI	67.76
32501	XVI	67.76
59472	XVII	0.00
27283	XVII	0.00
57086	XVII	0.00
10025	XVII	0.00
33489	XVII	10.86
28638	XVII	10.86
14673	XVII	12.11
55039	XVII	12.11
64016	XVII	16.34
64212	XVII	16.34
48417	XVII	16.34
17041	XVII	16.34
11489	XVII	17.39
4602	XVII	17.39
34899	XVII	18.44
32995	XVII	18.44
1814	XVII	19.49
39420	XVII	21.09
30791	XVII	22.69
33457	XVII	22.69
63968	XVII	22.69
31104	XVII	22.69
44367	XVII	22.69
38337	XVII	24.79
14001	XVII	24.79
62166	XVII	24.79
41518	XVII	24.79
18913	XVII	25.85
19980	XVII	25.85
59074	XVII	25.85
16425	XVII	25.85
2319	XVII	26.90
40759	XVII	26.90
53233	XVII	26.90
18624	XVII	26.90
3056	XVII	28.48
25471	XVII	30.06
14957	XVII	30.06
64112	XVII	30.06
18773	XVII	30.06
36773	XVII	30.06
21115	XVII	30.06
29941	XVII	30.06
31004	XVII	30.06
41653	XVII	30.06
9883	XVII	30.06
54671	XVII	30.06
18854	XVII	30.06
58865	XVII	31.12
9878	XVII	32.17
17534	XVII	32.17
49329	XVII	32.17
8742	XVII	32.17
65072	XVII	32.17
54935	XVII	32.17
49283	XVII	32.17
34870	XVII	32.17
54151	XVII	32.17
58335	XVII	33.48
39925	XVII	37.45
58629	XVII	37.45
26886	XVII	37.45
32700	XVII	37.45
49776	XVII	37.45
34119	XVII	37.45
59521	XVII	41.67
4606	XVII	41.67
62029	XVII	41.67
57583	XVII	41.67
27623	XVII	43.78
55896	XVII	43.78
52257	XVII	43.78
53158	XVII	43.78
33813	XVII	43.78
64290	XVII	44.84
53659	XVII	44.84
60432	XVII	44.84
53208	XVII	44.84
44522	XVII	44.84
54356	XVII	46.40
2647	XVII	46.40
4916	XVII	46.40
41493	XVII	46.40
60825	XVII	46.40
65032	XVII	47.97
27019	XVII	47.97
51312	XVIII	0
39156	XVIII	0.7771649694
11682	XVIII	0.7771650694
2062	XVIII	1.8334220798
33525	XVIII	1.8334238178
65259	XVIII	1.8334239178
14999	XVIII	1.8334240178
60002	XVIII	1.8334241178
61261	XVIII	1.8334242178
62570	XVIII	1.8334243178
20822	XVIII	6.0623932654
4391	XVIII	6.0623933654
63578	XVIII	6.0623934654
2453	XVIII	7.6799564927
20487	XVIII	12.2360336846
62646	XVIII	12.2360337846
34275	XVIII	13.5212530869
22314	XVIII	13.5212531869
41267	XVIII	13.5212532869
1496	XVIII	15.6291516336
28974	XVIII	15.6291517336
27699	XVIII	15.6291518336
19724	XVIII	15.6291519336
60709	XVIII	15.6291520336
51152	XVIII	15.6291521336
50509	XVIII	15.6291522336
45287	XVIII	15.6291523336
55605	XVIII	17.9816012473
3492	XVIII	21.4000336114
16084	XVIII	21.4000337114
39971	XVIII	21.4000338114
30068	XVIII	22.4340391818
9642	XVIII	25.6224718009
59207	XVIII	25.6224719009
3853	XVIII	27.3905233219
40907	XVIII	27.3905234219
18726	XVIII	27.3905235219
54684	XVIII	29.1638526053
42451	XVIII	33.412862331
2410	XVIII	36.203051481
20490	XVIII	36.203051581
34829	XVIII	36.203051681
21291	XVIII	38.3243428128
50838	XVIII	42.5840158447
13959	XVIII	42.5840159447
53260	XVIII	42.5840160447
64313	XVIII	42.5840161447
61361	XVIII	42.5840162447
17589	XVIII	46.8305859124
36867	XVIII	46.8305860124
56389	XVIII	46.8305861124
35639	XVIII	46.8305862124
57266	XVIII	48.944578752
21098	XVIII	48.944578852
52695	XVIII	48.944578952
56836	XVIII	50.0022763948
31773	XVIII	50.0022764948
14109	XVIII	54.2324119767
3896	XVIII	54.2324120767
64102	XVIII	54.2324121767
14326	XVIII	54.2324122767
56646	XVIII	54.2324123767
19973	XVIII	55.2825826172
55258	XVIII	57.4389083839
1912	XVIII	57.4389084839
13345	XVIII	57.4389085839
33855	XVIII	57.4389086839
9494	XVIII	57.4389087839
53196	XIX	0.00
32103	XIX	0.00
40845	XIX	0.00
7525	XIX	1.07
16565	XIX	1.07
53862	XIX	2.12
52676	XIX	2.12
58162	XIX	4.21
20351	XIX	4.21
53048	XIX	5.36
1905	XIX	5.36
55805	XIX	6.51
44963	XIX	9.10
31329	XIX	9.10
18143	XIX	12.08
17166	XIX	15.07
19541	XIX	16.26
56523	XIX	16.26
61689	XIX	16.26
63948	XIX	16.26
36039	XIX	17.31
54519	XIX	17.31
55923	XIX	18.36
3305	XIX	18.36
49858	XIX	26.87
31728	XIX	26.87
34436	XIX	26.87
32668	XIX	26.87
21890	XIX	26.87
63145	XIX	27.92
63779	XIX	27.92
35116	XIX	27.92
61774	XIX	30.03
32581	XIX	30.03
55245	XIX	30.03
41480	XIX	30.03
61230	XIX	30.03
18876	XIX	30.03
7514	XIX	31.09
63030	XIX	31.09
35322	XIX	33.21
59014	XIX	36.06
33543	XIX	37.49
50729	XIX	37.49
4744	XIX	41.72
51212	XIX	41.72
64877	XIX	42.78
6749	XIX	43.84
48892	XIX	44.89
20065	XIX	44.89
36833	XIX	44.89
49109	XIX	44.89
41746	XIX	44.89
1499	XIX	45.95
13132	XIX	48.08
18837	XIX	49.13
50167	XIX	49.13
31835	XIX	49.13
18581	XIX	49.13
14866	XIX	49.13
22075	XIX	49.13
52142	XIX	50.08
20897	XIX	50.08
49155	XIX	50.08
4115	XIX	50.08
31760	XIX	51.05
34818	XIX	52.10
28662	XIX	52.10
686	XIX	52.10
5374	XIX	52.10
3223	XIX	52.10
57481	XIX	52.10
