Loci	LG	bp
4606	LG17	22238000
4633	LG15	12850747
4635	LG12	5128709
4665	LG02	16353320
4691	LG05	17637880
4707	LG20	13292010
4708	LG02	31253517
4741	LG22	7635426
4744	LG19	15510630
4848	LG14	19053649
4886	LG01	3946485
4916	LG17	26699776
4939	LG03	11994805
4950	LG05	17445714
4952	LG07	6085043
4992	LG09	7419091
5012	LG23	3667807
5026	LG04	22969960
5049	LG03	16424187
5054	LG02	30303022
5074	LG01	18712040
5101	LG10	12623891
5107	LG08	26446098
5113	LG12	9605273
5113	LG19	25681954
5113	Contig49	37428
5113	LG17	24861612
5113	LG02	21828241
5113	LG17	15350971
5113	LG04	7238368
5113	LG03	21954504
5113	LG05	10181301
5113	Contig10609	121350
5113	Contig202100	948
5113	LG22	12263777
5113	LG10	4857142
5113	LG08	21360501
5113	LG13	10169690
5113	LG13	8626752
5113	LG18	18486238
5113	LG15	12631149
5113	Contig41080	198
5113	LG01	4989653
5113	LG01	3221015
5113	LG11	14628909
5113	LG14	4481183
5243	LG03	4555534
5374	LG19	22246612
5402	LG10	9135122
5417	LG14	3085864
5492	LG09	2110006
5620	LG08	16788153
5670	LG06	23850375
5698	LG03	14077579
5783	LG22	6214575
5963	LG24	13803900
6088	LG19	26119233
6104	LG02	9005815
6211	LG01	15248370
6443	LG10	20037564
6454	LG09	11535704
6468	LG10	21388094
6749	LG19	17595437
6855	LG23	4874532
6954	LG16	10270985
6993	LG06	7179090
7065	LG03	20934749
7065	LG03	21304655
7067	LG09	4540338
7265	LG05	15957988
7514	LG19	9417944
7525	LG19	597001
7618	LG01	14679945
7687	LG13	24202262
7734	LG11	7643644
7742	LG14	18697499
7966	LG04	16143173
7972	LG23	7206801
8061	LG20	24120290
8152	LG03	16466819
8220	LG06	16248677
8505	LG09	114448
8543	LG02	18476593
8662	LG12	8270319
8732	LG06	22844023
8742	LG17	16255633
8831	LG13	16893888
8937	LG02	29083198
9191	LG04	9842757
9240	LG15	7245544
9283	LG06	11397304
9283	LG06	11392831
9494	Contig127586	544
9494	LG18	18334297
9642	LG18	7245297
9744	LG04	431837
9830	LG07	13637163
9830	LG07	13856285
9878	LG17	17440800
9883	LG17	12359369
10025	LG17	1788578
10193	LG02	20645822
10449	LG24	5716143
10670	LG10	16944532
10736	LG08	11429240
10875	LG09	16235303
10999	LG24	11303338
11092	LG23	615768
11149	LG23	13330148
11189	LG04	21169480
11260	LG24	5809763
11271	LG14	286565
11478	LG07	16342605
11489	LG17	5954095
11682	LG18	987328
11815	LG10	8497720
11833	LG05	4371601
11891	LG13	26808012
11953	LG12	21362664
12067	LG11	14570691
12148	LG11	1473130
12189	LG01	8575106
12222	LG16	23527799
12236	LG13	14593022
12295	LG02	29850432
12305	LG04	7702922
12307	LG22	5126311
12444	LG04	24803522
12508	LG07	4618384
12554	LG07	5074972
12783	LG08	368822
12832	LG03	7325088
12861	LG22	13152434
12891	LG14	16522946
12943	LG20	12890785
12997	LG06	23824395
13132	LG19	20262875
13199	LG15	20919753
13300	LG11	7397357
13303	LG01	631399
13308	LG22	4477772
13345	LG20	3602960
13349	LG10	8552009
13413	LG03	23031163
13439	LG02	27565632
13488	LG05	1638687
13530	LG20	20568765
13531	LG14	22036627
13636	LG04	5608801
13650	LG06	20343578
13687	LG22	7811045
13727	LG12	22055305
13753	LG01	18269899
13807	LG21	9927217
13856	LG20	5156548
13903	LG09	24971843
13959	LG18	12137878
14001	LG17	9799718
14012	LG10	11950723
14031	LG04	1161020
14055	LG07	5048916
14056	LG12	14560119
14082	LG08	17342239
14084	LG07	20631789
14097	LG22	8271444
14109	LG18	19590725
14114	LG22	2863544
14169	LG13	26775175
14173	LG09	23430995
14224	LG16	17308054
14238	LG16	22592726
14295	LG08	3145025
14326	LG18	18073501
14358	LG05	14245040
14396	LG01	8782997
14406	LG10	16553391
14414	LG15	8522946
14420	LG10	6751574
14465	LG11	5422450
14472	LG06	13814421
14495	LG05	10845569
14515	LG02	20008510
14569	LG14	9863944
14591	LG08	26933591
14636	LG21	12188543
14673	LG17	3374216
14716	LG14	17225942
14750	LG07	13407924
14773	LG17	9256844
14788	LG03	1682388
14788	LG20	2490465
14788	LG16	479946
14788	LG07	21502980
14788	Contig11832	146219
14803	LG05	18328673
14813	LG13	1644111
14821	LG23	9256424
14838	LG12	14314559
14860	LG11	10016233
14866	LG19	20676911
14875	LG01	7171721
14935	LG08	23859957
14939	LG07	1920113
14953	LG12	9217947
14957	LG17	13493825
14999	LG18	259779
15045	LG07	4780434
15104	LG08	2372348
15203	LG15	2007952
15224	LG02	500985
15227	LG01	7448222
15244	LG10	21692489
15283	LG23	17638815
15389	LG05	9873226
15392	LG20	19338639
15453	LG05	2557039
15529	LG09	24748400
15599	LG06	20513447
15621	LG16	21196694
15623	LG04	21802383
15635	LG03	19606728
15638	LG01	134875
15696	LG09	8936413
15730	LG03	2091074
15730	Contig15473	622
15730	Contig13101	1684
15730	Contig241	282
15730	Contig409	318
15730	Contig12158	153
15730	Contig1284	347
15730	Contig14606	645
15730	Contig2371	4
15730	Contig149	224
15730	Contig10952	1273
15730	LG14	1511645
15730	Contig12159	1884
15730	LG22	13178519
15730	Contig627	230
15730	Contig165046	855
15730	Contig1616	264
15749	Contig10385	2050
15749	Contig10160	21247
15749	LG13	212729
15749	LG03	398145
15749	LG14	2501443
15749	LG08	1001363
15749	LG12	3500294
15749	LG15	1699235
15749	LG07	21535958
15749	LG14	2489611
15749	LG19	26327242
15749	Contig10782	32
15749	Contig465419	171
15749	LG02	1358857
15749	Contig366237	3234
15749	Contig10780	10759
15749	LG20	2310013
15749	LG18	1687401
15749	LG12	409568
15749	Contig239677	705
15749	Contig166876	57
15749	LG09	26898461
15749	Contig10855	359591
15749	LG13	2617592
15749	LG08	5287754
15749	Contig11020	2509
15749	LG21	1230164
15749	Contig15333	4740
15749	Contig150653	3695
15749	Contig14686	3222
15749	Contig61	40582
15749	LG10	3329948
15749	LG01	23265657
15749	LG20	2197764
15749	LG10	155745
15749	LG07	22564575
15749	LG20	24505408
15749	Contig425255	2310
15749	Contig12277	5197
15749	LG17	11526977
15749	LG16	1917032
15749	LG13	110922
15749	Contig11239	84750
15749	LG21	1208126
15749	LG09	26315029
15749	Contig12683	24681
15749	Contig83	77057
15749	LG16	6104744
15749	Contig5574	1005
15749	Contig11832	51350
15749	LG13	102806
15749	Contig72	32752
15749	Contig363873	2552
15749	Contig270825	769
15752	LG07	10234146
15790	LG09	2535737
15798	LG05	11849038
15823	LG23	2627446
15891	LG14	7452114
15950	LG16	17851279
16012	LG22	9510560
16084	LG18	6786035
16126	LG15	10242468
16134	LG04	7434997
16149	LG16	3131961
16161	LG01	3587904
16169	LG14	7091287
16183	LG01	4434478
16237	LG05	12919672
16245	LG04	24977685
16293	LG07	18888768
16425	LG17	10859227
16443	LG23	11673839
16506	LG13	14512712
16565	LG19	547370
16596	LG06	3149569
16645	LG23	331165
16665	LG03	19316074
16737	LG02	9046130
16764	LG05	1851209
16788	Contig400699	673
16788	LG01	4696477
16851	LG11	1811480
16858	LG07	22829922
16905	LG10	11886855
16926	LG01	1039085
16999	LG06	24161985
17021	LG14	19285333
17023	LG09	18140705
17041	LG17	4776044
17079	LG06	21135625
17082	LG15	8100696
17092	LG22	179193
17132	LG16	20081985
17141	LG02	27994285
17166	LG19	3568930
17305	LG01	1989745
17315	LG10	19520164
17317	LG07	18780541
17320	LG09	9279684
17357	LG02	25682931
17389	LG05	12612051
17443	LG06	4369559
17489	LG07	5303687
17490	LG02	11391415
17534	LG17	16534129
17552	LG11	17833844
17589	LG18	14823660
17644	LG04	2872279
17652	LG10	2762806
17674	LG09	5063503
17734	LG22	4734986
17782	LG07	22656451
17798	LG11	13285493
17818	LG06	19208671
17819	LG06	12279066
17827	LG07	4703505
17844	LG11	162434
17854	LG03	15548760
17869	LG07	6187211
17897	LG15	9114724
17936	LG04	23469997
18016	LG02	18546906
18024	LG16	23288524
18039	LG07	13755847
18061	LG12	19755203
18098	LG01	7848109
18138	LG16	22648520
18143	LG19	3394341
18155	LG06	9154161
18181	LG01	10233639
18183	LG08	9762646
18220	LG22	4658066
18289	LG21	19939128
18304	LG23	1698632
18343	LG10	5931359
18366	LG01	3399742
18384	LG07	16000140
18387	LG12	10820251
18401	LG09	12988884
18419	LG07	15634147
18430	LG13	24149680
18435	LG24	11629764
18435	LG13	23007320
18440	LG07	11382866
18443	LG03	10764971
18451	LG09	17005021
18465	LG06	3500181
18533	LG23	5029401
18580	LG14	16213720
18581	LG19	22156353
18597	LG14	11813802
18598	LG02	28943621
18600	LG20	15810393
18614	LG24	12533858
18624	LG17	14828751
18669	LG03	14689629
18683	LG05	17876094
18689	LG24	1644409
18726	LG18	8210419
18755	LG07	11427107
18763	LG08	12951701
18765	LG15	17517961
18773	LG17	13247786
18807	LG01	593049
18837	LG19	20984508
18844	LG24	5421006
18854	LG17	13926992
18876	LG19	11871498
18913	LG17	9472324
18931	LG01	1989823
19009	LG10	16203066
19050	LG20	5496286
19063	LG04	4207571
19075	LG08	24675676
19077	LG11	18440482
19082	LG06	17357292
19100	LG09	24818661
19109	LG05	13133113
19114	LG11	19792043
19141	LG10	20555758
19166	LG21	14950828
19200	LG14	21377897
19289	LG12	6754158
19311	LG09	24159146
19351	LG20	6883723
19388	LG09	15043456
19410	LG11	1681765
19455	LG03	3927780
19479	LG12	14821660
19541	LG19	3736988
19542	LG10	21494943
19598	LG07	19242079
19600	LG03	22398391
19622	LG06	19908685
19631	LG03	7001634
19651	LG14	22310838
19664	Contig11297	98136
19717	LG13	26412144
19724	LG18	6042257
19762	LG04	9614773
19788	LG01	17795562
19800	LG08	25077396
19859	LG03	14993218
19897	LG20	7771805
19939	LG15	7181539
19950	LG04	6717678
19973	LG18	19266758
19979	LG05	12845850
19980	LG17	10476021
20035	LG21	18612569
20054	LG05	1507688
20065	LG19	16995266
20066	LG05	3250570
20088	LG10	19808095
20142	LG19	26100614
20170	LG09	3047424
20175	LG11	6945904
20178	LG20	4498053
20191	LG16	18832328
20235	LG13	24210297
20239	LG01	17795640
20320	LG12	4662039
20351	LG19	1346200
20363	Contig11744	62288
20363	Contig11744	77985
20368	LG16	1163568
20408	Contig375661	9
20408	LG15	10693784
20441	LG20	4879288
20487	LG18	3015515
20489	LG16	22760842
20490	LG18	9307029
20514	LG10	9967004
20568	LG09	14025558
20573	LG07	2799484
20596	LG12	8546768
20606	LG07	14015266
20607	LG10	21638809
20620	LG03	12945322
20637	LG09	3990902
20657	LG12	23286666
20672	LG16	14025281
20680	LG12	21253332
20756	LG09	3527017
20822	LG18	1572916
20838	LG14	9629904
20849	LG16	23886779
20856	LG03	20243285
20891	Contig11418	85650
20897	LG19	21043348
20905	LG01	19179314
20925	LG15	13966508
20927	LG10	3962881
20959	LG12	21253410
21006	LG23	8794280
21065	LG14	760148
21088	LG08	26991466
21098	LG18	17071598
21101	LG02	27763276
21103	LG12	24191690
21115	LG17	13481426
21200	LG22	9216752
21210	LG11	1086503
21219	LG20	24464880
21245	LG20	13185840
21247	LG12	23033695
21291	LG18	11258064
21326	LG03	18401307
21344	LG01	24326635
21348	LG09	4873835
21500	LG23	2217980
21552	Contig139327	44
21552	LG10	19883984
21577	LG03	17832495
21586	LG22	751846
21649	LG16	22156054
21668	LG10	8009046
21743	LG01	16677896
21769	LG13	21862561
21795	LG02	30047967
21800	LG04	24841065
21823	LG12	8422448
21827	LG07	9959651
21848	LG01	24680966
21860	LG10	14769586
21890	LG19	7590726
21903	LG09	7180256
21931	LG19	24234608
21940	LG10	18589804
21951	LG12	10951583
22024	LG04	24404722
22027	LG03	18401385
22075	LG19	21162499
22083	LG15	21308508
22089	LG14	5174776
22109	LG02	29494015
22163	LG04	22630585
22233	LG09	8429901
22237	LG21	20141875
22247	LG13	1234634
22314	LG18	3687908
22379	LG06	7617852
22524	LG04	4865462
22585	LG16	8136973
22693	LG20	20380387
22907	LG12	4059519
22913	LG09	22447890
23006	LG06	13182021
23180	LG05	2705969
23717	LG09	557939
23980	LG13	14767608
24253	LG20	618914
24405	LG09	17807803
24468	LG20	8809696
24809	LG12	6235791
24930	LG24	2447398
25422	LG10	18169563
25471	LG17	14249210
25471	LG17	14230458
25471	LG17	14268897
25471	LG17	14275820
25471	LG11	7113461
25471	LG11	7157470
25471	LG19	23024448
25650	LG01	16449458
25785	LG09	16586461
26588	LG04	10503403
26753	LG10	18065608
26886	LG17	19450656
26896	LG01	3498286
26909	LG05	6488856
27019	LG17	27826079
27120	LG09	17525814
27146	LG09	20145393
27155	LG03	14128858
27283	LG17	675379
27291	LG15	21015232
27316	LG20	18600470
27356	LG21	15908155
27458	LG05	9627135
27495	LG10	6872290
27568	LG09	1061147
27623	LG17	24126079
27631	LG07	13637085
27699	LG18	4005806
27824	LG09	11130502
27839	LG20	24155178
27853	LG01	685841
28007	LG24	5764783
28137	LG16	21926737
28220	LG08	16912827
28244	LG06	7555227
28349	LG09	22962014
28392	Contig9554	507461
28400	LG22	1864397
28460	LG02	26484404
28536	LG04	16870679
28537	LG02	310200
28538	LG24	9227370
28545	LG04	20783611
28552	LG06	14778532
28662	LG19	21723165
28681	LG24	12077080
28802	LG23	16060221
28974	LG18	4896371
28977	LG15	19787715
28980	LG07	2498573
29010	LG10	3852509
29034	LG12	5216260
29040	LG11	1512844
29053	LG14	4481186
29053	LG09	21698717
29053	LG03	21954504
29053	LG01	4989653
29053	LG11	20274297
29053	LG12	10597055
29053	LG05	10181304
29053	LG02	21828244
29053	LG13	10169690
29053	LG17	26540607
29053	LG19	24789289
29053	LG04	7238371
29053	LG02	19817262
29053	LG09	1997263
29053	LG19	25681954
29053	LG17	24861612
29053	LG11	14628912
29053	Contig9554	133456
29053	LG23	14650663
29053	LG08	21360504
29053	LG22	12263777
29053	LG10	4857142
29053	LG17	15350974
29053	LG10	7151586
29053	LG07	11013288
29053	LG15	12631152
29053	LG01	3377947
29053	Contig41080	198
29053	LG18	18486241
29053	LG02	1801540
29053	Contig202100	951
29053	Contig10609	121350
29131	LG02	6487524
29189	LG11	14259992
29237	LG12	23905402
29285	LG04	21169558
29298	LG05	12313156
29370	LG14	5446845
29377	LG06	20048872
29395	LG15	14759541
29461	LG20	23425936
29465	LG03	18861750
29470	LG03	13853554
29512	LG15	20844999
29522	LG10	3852431
29566	LG23	13097609
29584	LG01	11024648
29608	LG10	18122756
29616	LG12	24465191
29699	LG01	16146328
29931	LG06	22059400
29936	LG09	8823791
29941	LG17	13393877
30068	LG18	6785957
30562	LG08	19935592
30571	LG16	22999847
30603	LG20	89632
30630	LG03	7230811
30638	LG24	11387802
30658	LG02	18693764
30750	LG01	3933202
30765	LG23	12324744
30791	LG17	8537220
30850	LG11	6079847
30870	LG10	21582033
30898	LG13	26718098
30931	LG03	16031851
31004	LG17	13214108
31019	LG01	2530328
31044	LG09	12474556
31063	LG20	8347605
31080	LG24	826971
31100	LG15	4976072
31104	LG17	8398464
31124	LG04	18797478
31126	LG07	14027146
31136	LG12	16543277
31167	LG21	16915450
31175	LG24	1365085
31192	LG20	18198878
31201	LG08	2617320
31207	LG04	22906280
31308	LG10	7908436
31328	LG02	30896671
31329	LG19	2389367
31332	LG24	11528412
31344	LG24	2168911
31380	LG05	9583571
31389	LG12	8871018
31412	LG15	18468221
31479	LG22	7892530
31514	LG21	1311856
31514	LG09	26563733
31514	Contig482478	135
31514	LG13	393661
31514	LG08	673738
31514	LG13	245143
31514	LG10	515628
31514	LG09	26455425
31514	LG09	26214380
31514	Contig10780	83135
31514	LG17	28345734
31514	Contig10952	305384
31514	LG15	1419993
31514	Contig14620	1505
31514	LG08	2637401
31514	Contig11416	143
31514	LG07	21665747
31514	LG15	1844172
31514	Contig11030	25779
31514	Contig12064	67951
31514	LG06	2715406
31514	LG03	7119318
31514	LG17	27520087
31514	Contig61	259901
31514	Contig1265	1036
31514	Contig54	254226
31514	LG10	739749
31514	Contig10782	140201
31514	LG02	358316
31514	LG11	20493744
31514	Contig270389	188
31514	LG20	398585
31514	LG19	25202514
31514	LG11	20357548
31514	LG21	3883561
31514	Contig226897	906
31514	Contig61	172935
31514	Contig1099	142
31514	LG21	1463036
31514	LG07	22002653
31514	Contig308539	596
31514	Contig15076	1690
31514	Contig11251	182156
31514	Contig11251	259441
31514	Contig839	7487
31514	Contig54	41722
31514	LG20	2092099
31514	LG15	977625
31514	Contig54	166508
31514	Contig10780	65961
31514	LG15	1317749
31514	LG01	23327894
31514	LG02	424100
31514	LG10	1158419
31514	Contig11316	259616
31514	Contig49	81612
31514	Contig10495	2790
31514	Contig49	261911
31514	LG01	23934487
31514	Contig11670	95433
31514	LG08	26021105
31514	Contig61	50411
31514	LG03	8072933
31514	LG03	1301950
31514	LG05	1019259
31514	Contig49	217517
31514	Contig340820	1856
31514	LG09	26899535
31514	LG12	3497644
31514	Contig10160	38341
31514	Contig12597	9679
31514	Contig73	160332
31514	Contig661	1197
31514	LG03	136317
31514	LG13	282000
31514	LG03	4404252
31514	Contig11925	75340
31514	Contig107787	1784
31514	Contig12064	24360
31514	Contig306	1859
31514	Contig1190	3509
31514	Contig104	70198
31514	LG09	26894193
31514	LG02	1219141
31514	LG07	21481706
31514	Contig10780	150539
31514	Contig7933	270
31514	LG11	21309011
31514	LG19	25585895
31514	LG06	2697636
31514	LG14	1137170
31514	LG11	20541856
31514	LG12	810266
31514	Contig11287	632
31514	LG01	23779842
31514	Contig329538	364
31514	LG13	108690
31514	Contig11756	1206
31514	Contig1003	4668
31514	LG17	16402526
31514	LG11	20475760
31514	Contig73160	3432
31514	LG16	363822
31514	Contig11597	1232
31514	LG02	2245576
31514	LG19	26769893
31514	Contig10764	148920
31521	LG21	5299203
31576	LG04	19742068
31621	LG05	13493101
31643	LG12	11088287
31686	LG03	22201417
31688	LG05	7353915
31728	LG19	7634386
31746	LG19	24186088
31760	LG19	20940846
31773	LG18	17911593
31776	LG16	9423821
31782	LG04	16645524
31797	LG14	17259283
31802	LG21	3461013
31811	LG22	13138961
31813	LG09	6095198
31831	LG06	20389182
31835	LG19	21784209
31846	LG16	1791686
31873	LG14	13848626
31881	LG02	31673304
31906	LG08	26817854
31915	LG05	16362264
31994	LG15	7603238
32070	LG01	16383102
32103	LG19	37525
32170	LG12	24653398
32184	LG02	673475
32184	LG02	675341
32184	LG19	25818946
32199	LG08	26814559
32234	LG14	13239582
32266	LG01	81740
32286	LG03	11697815
32295	LG23	4054008
32308	LG13	18966370
32314	LG22	682045
32349	LG03	14855743
32384	LG09	5116664
32400	LG05	11545868
32419	LG24	5444204
32501	LG16	24320884
32520	LG20	6415788
32575	LG08	25379919
32581	LG19	10242505
32600	LG24	13832055
32637	LG04	24095118
32648	LG03	19268533
32654	LG02	6422018
32655	LG14	18998986
32668	LG19	6922822
32700	LG17	20784362
32723	LG09	788756
32743	LG20	6541595
32750	LG11	1212655
32760	LG20	10802803
32811	LG02	24771985
32822	LG07	1151247
32870	LG07	4728001
32897	LG08	20603592
32942	LG10	21442383
32995	LG17	6286482
32997	LG07	23306817
33031	LG16	23591127
33042	LG02	11175725
33047	LG06	22979155
33161	LG03	434278
33240	LG05	13159196
33266	LG03	22925728
33289	LG05	3234
33322	LG08	23001987
33353	LG05	12313078
33366	LG20	24860929
33386	LG24	9726053
33447	LG20	20419718
33451	LG11	11411427
33455	LG10	15565791
33457	LG17	8746565
33484	LG11	4467381
33489	LG17	2900083
33525	LG18	1241347
33542	LG24	3859464
33543	LG19	14490048
33548	LG21	18937926
33585	LG10	14793268
33604	LG10	11988161
33620	LG06	14966314
33621	LG02	21833542
33626	LG03	19523285
33653	LG02	26367738
33659	LG10	17733055
33686	LG24	3687624
33689	LG07	15953502
33696	LG03	7872051
33813	LG17	25977557
33830	LG15	5442602
33842	LG20	21023784
33855	LG20	3268402
33873	LG06	21177341
33891	LG14	8300425
34021	LG02	11768732
34024	LG03	13698865
34111	LG23	5139730
34119	LG17	19940465
34124	LG12	22034029
34131	LG23	16345211
34199	LG03	17929307
34242	LG01	3280945
34275	LG18	3346405
34325	LG14	6777248
34328	LG11	17626946
34377	LG20	15593765
34383	LG06	20389260
34434	LG21	17333676
34436	LG19	6604247
34441	LG02	30772855
34496	LG12	11771915
34520	LG14	9223878
34526	LG08	17963555
34596	LG11	2340551
34618	LG23	10626914
34638	LG15	12496003
34689	LG12	24242507
34733	Contig495168	1429
34736	LG11	14502209
34737	LG14	15185696
34763	LG21	14131265
34786	LG21	13817871
34799	LG09	17721597
34802	LG23	17760787
34804	LG15	65025
34808	LG02	31502030
34818	LG19	22126077
34827	LG07	873150
34829	LG18	9317368
34857	LG10	6872212
34870	LG17	16521773
34878	LG07	4727923
34899	LG17	6773922
34923	LG16	11950307
34960	LG16	16472432
35007	LG23	1134360
35043	LG07	23272651
35047	LG04	18622138
35099	LG20	8584368
35116	LG19	8810780
35130	LG21	3943290
35143	LG16	21292345
35184	LG07	20127541
35226	LG11	15042120
35251	LG02	1205678
35265	LG15	3920567
35305	LG13	21784666
35322	LG19	12903649
35497	LG12	1115264
35507	LG07	4182749
35531	LG04	8776217
35560	LG16	11046181
35584	LG05	2841236
35589	LG16	12502746
35639	LG18	15642817
35756	LG20	514799
35788	LG14	11318084
35789	LG04	9083003
35853	LG11	5996404
35906	LG14	4113917
36018	LG13	25902012
36039	LG19	4415981
36057	LG15	9320741
36072	LG20	9847478
36170	LG03	18729888
36292	LG07	14118131
36343	LG13	25602382
36358	LG20	23156072
36410	LG12	3504426
36410	Contig11416	53092
36410	Contig11239	51364
36410	LG02	12314706
36410	LG01	22466661
36410	Contig11316	98533
36410	Contig15206	2306
36469	LG06	12910489
36588	LG06	24190963
36603	LG14	380492
36630	LG16	17335997
36647	LG08	4148640
36712	LG09	198895
36738	LG24	9227448
36773	LG17	13933592
36807	LG06	9556031
36833	LG19	16300819
36852	LG14	4113995
36867	LG18	16171998
36885	LG13	2242306
37119	LG20	12340120
37132	LG22	698194
37216	LG14	18410182
37484	LG11	3716336
37611	LG09	9088983
37684	LG02	11701490
37693	LG01	17090693
37699	LG02	31614593
37756	LG10	8832886
37977	LG24	1823834
38079	LG21	5860739
38137	LG22	6123904
38206	LG03	18878645
38208	LG10	21711176
38217	LG03	20769136
38252	LG06	22059322
38279	LG09	3409358
38286	LG02	767690
38337	LG17	8768665
38427	LG20	23701660
38433	LG20	8942228
38536	LG02	7980030
38554	LG16	17747117
38607	LG11	14424285
38616	LG12	24347056
38654	LG08	8720484
38692	LG08	13693520
38803	LG04	3798410
38821	LG16	17454468
38876	LG12	2271917
38975	LG09	21863674
39017	LG22	63050
39056	LG02	29205576
39119	LG03	50294
39156	LG18	773703
39156	LG18	775985
39175	LG21	16942322
39354	LG12	7171884
39357	LG06	4497053
39420	LG17	7984390
39466	LG05	10557914
39515	LG04	12032737
39638	LG16	20947595
39859	LG04	1930357
39891	LG22	8942900
39896	LG20	12935181
39918	LG21	13727314
39925	LG17	20214775
39971	LG18	6556426
40134	LG08	17764003
40181	LG24	5499062
40186	LG24	1026046
40249	LG03	1591307
40257	LG04	9732676
