Loci	LG	bp
19950	LG04	6717678
20007	LG21	11380207
20035	LG21	18612569
20054	LG05	1507688
20065	LG19	16995266
20088	LG10	19808095
20128	LG17	18521934
20135	LG14	14781509
20175	LG11	6945904
20311	LG15	1875839
20322	LG01	2179581
20354	LG23	9614088
20437	LG17	11296551
20517	LG09	7651869
20541	LG05	19796511
20551	LG16	24101083
20568	LG09	14025558
20598	LG07	516245
20627	LG07	7193629
20630	LG16	9988679
20648	LG16	23777824
20680	LG12	21253332
20691	LG05	4138046
20712	LG01	16964688
20783	LG21	13443759
20836	LG12	18870893
20856	LG03	20243285
20891	Contig11418	85650
20939	LG21	15785902
21049	LG23	17638737
21097	LG06	22136319
21146	LG02	21593701
21183	LG12	10300838
21247	LG12	23033695
21326	LG03	18401307
21361	LG04	3652474
21433	LG06	1939676
21447	Contig357147	847
21447	Contig322990	461
21449	LG09	498055
21463	LG03	11954770
21534	LG17	15929219
21584	LG24	6444944
21661	LG18	9564561
21668	LG10	8009046
21678	LG23	5507260
21743	LG01	16677896
21746	LG02	28754278
21782	Contig105	6532
21782	Contig8219	6225
21782	Contig260154	3
21800	LG04	24841065
21827	LG07	9959651
21832	LG20	12751899
21832	LG20	13319713
21832	LG23	14022444
21832	LG15	14087285
21832	LG07	17856258
21832	LG07	18655127
21832	LG15	12677372
21832	LG07	16667297
21862	LG03	5416442
21890	LG19	7590726
21903	LG09	7180256
21937	LG14	213425
21940	LG10	18589804
21951	LG12	10951583
21989	LG08	15590088
22022	LG01	9162268
22277	LG09	14129370
22283	LG06	2282456
22371	LG19	3010125
22379	LG06	7617852
22398	LG03	11492344
22448	LG24	3024770
22455	LG03	8009348
22472	LG09	25522780
22526	LG02	26657665
22535	LG11	7686129
22551	LG14	20374532
22681	LG10	17188557
22701	LG13	25575333
22706	LG13	12018313
22714	LG14	19412665
22782	LG05	13291203
22904	LG12	24737556
22957	LG22	6219340
22977	LG01	13948336
23030	LG21	6278765
23075	LG19	23462658
23088	LG19	12744245
23118	LG19	12397955
23190	LG03	18169999
23212	LG08	25205893
23226	LG20	15493474
23385	LG12	1838139
23387	LG24	7365150
23496	LG19	1734078
23617	LG14	10989871
23727	LG14	21728544
23770	LG23	12363955
23784	LG16	23401751
23830	LG09	2332651
23860	LG16	9401657
23988	LG11	180369
23996	LG19	2138134
24110	LG10	21595619
24160	LG22	6629577
24226	LG10	10170857
24232	LG09	16058461
24239	LG17	16618063
24242	LG21	3677719
24247	LG19	2675515
24341	LG17	16585868
24370	LG18	585117
24381	LG04	21293427
24412	LG22	2302258
24415	LG14	16717886
24483	LG12	21874794
24489	LG16	17302875
24532	LG08	787506
24691	LG04	24248115
24745	LG13	2785621
24748	LG02	2307218
24765	LG02	28587274
24768	LG07	16749232
24844	LG01	592971
24930	LG24	2447398
24964	LG17	5972754
24995	LG12	13524895
25022	LG10	18392049
25054	LG18	11544142
25068	LG13	16396430
25135	LG03	13392310
25172	LG22	7429451
25179	LG21	7664388
25253	LG11	9775704
25398	LG03	10310615
25471	LG17	14249210
25471	LG17	14230458
25471	LG17	14268897
25471	LG17	14275820
25471	LG11	7113461
25471	LG11	7157470
25471	LG19	23024448
25650	LG01	16449458
25676	LG13	23159480
25703	LG17	19587408
25785	LG09	16586461
25812	LG02	11759972
25837	LG09	2523566
25907	LG16	277958
25929	LG19	825537
25934	LG14	20182423
25934	LG14	20182731
26012	LG20	20535774
26015	LG15	3969451
26070	LG20	14760328
26072	LG14	11201830
26074	LG16	9187395
26084	LG11	4817505
26124	LG18	15846324
26140	LG06	2630434
26171	LG12	14506004
26223	LG07	5193792
26235	LG04	3121115
26235	LG17	581727
26235	Contig146	12921
26235	Contig223971	2997
26269	LG16	19044229
26275	LG16	285289
26376	LG20	5872557
26498	LG10	8187157
26507	LG19	7692411
26516	Contig9589	2492
26677	LG16	19325043
26685	LG04	24999522
26701	LG09	25851625
26886	LG17	19450656
26909	LG05	6488856
27019	LG17	27826079
27064	LG20	17259361
27113	LG17	27018391
27155	LG03	14128858
27275	LG16	1670973
27283	LG17	675379
27289	LG17	4710483
27316	LG20	18600470
27343	LG02	23542445
27354	LG12	4151298
27381	LG04	22477490
27382	LG14	12038754
27416	LG12	18721558
27446	LG02	28686925
27478	LG17	13619416
27506	LG17	8286506
27562	LG05	687171
27568	LG09	1061147
27592	LG12	22543134
27631	LG07	13637085
27662	LG12	2070597
27849	LG15	20170682
27868	LG22	5369735
27877	LG03	2725924
27894	LG17	13229682
27927	LG10	21412541
27936	LG23	8879491
27936	Contig367885	202
27959	LG11	19791965
27982	LG22	6123982
28007	LG24	5764783
28028	LG20	14975061
28091	LG09	25255233
28096	LG15	12456039
28131	LG20	9716752
28154	LG03	14161074
28274	LG09	20420205
28349	LG09	22962014
28361	LG17	5702570
28537	LG02	310200
28561	LG21	3284210
28650	LG19	12596253
28681	LG24	12077080
28705	LG12	23338156
28749	LG22	13290046
28805	LG22	8660727
28878	LG14	17718795
28927	LG13	16665264
29010	LG10	3852509
29040	LG11	1512844
29053	LG14	4481186
29053	LG09	21698717
29053	LG03	21954504
29053	LG01	4989653
29053	LG11	20274297
29053	LG12	10597055
29053	LG05	10181304
29053	LG02	21828244
29053	LG13	10169690
29053	LG17	26540607
29053	LG19	24789289
29053	LG04	7238371
29053	LG02	19817262
29053	LG09	1997263
29053	LG19	25681954
29053	LG17	24861612
29053	LG11	14628912
29053	Contig9554	133456
29053	LG23	14650663
29053	LG08	21360504
29053	LG22	12263777
29053	LG10	4857142
29053	LG17	15350974
29053	LG10	7151586
29053	LG07	11013288
29053	LG15	12631152
29053	LG01	3377947
29053	Contig41080	198
29053	LG18	18486241
29053	LG02	1801540
29053	Contig202100	951
29053	Contig10609	121350
29070	LG06	19027152
29095	LG12	4051529
29237	LG12	23905402
29341	LG12	15223832
29348	LG05	8442822
29363	LG06	2622428
29427	LG13	24123964
29431	LG22	4872897
29465	LG03	18861750
29470	LG03	13853554
29522	LG10	3852431
29534	LG23	5940688
29546	LG14	4881045
29565	LG04	10584275
29566	LG23	13097609
29584	LG01	11024648
29586	LG14	6502917
29610	LG21	10996632
29648	LG19	19957778
29785	LG07	3134124
29847	LG11	885106
29847	LG11	886935
29885	LG19	26002581
29937	LG04	18301566
29969	LG20	7989451
30067	LG06	3138840
30080	LG20	14257420
30099	LG05	432859
30120	LG16	3850739
30160	LG09	25818227
30179	LG05	6531572
30181	LG16	13668807
30188	LG21	19085965
30309	LG05	18903235
30313	LG22	1799104
30331	LG03	10597958
30358	LG11	19926050
30370	LG16	21925630
30450	LG01	6922013
30519	LG06	23451461
30523	LG20	17613643
30539	Contig13332	307
30539	Contig11593	136226
30548	LG07	5123366
30651	LG19	11086995
30664	LG19	1741153
30818	LG08	9794621
30850	LG11	6079847
30852	LG23	7312859
30870	LG10	21582033
31052	LG01	740028
31130	LG04	24131112
31136	LG12	16543277
31169	LG23	569933
31195	LG10	14105352
31285	LG01	22466739
31285	LG02	12314784
31285	Contig15206	2228
31285	Contig11316	98455
31294	LG08	7883042
31308	LG10	7908436
31325	LG07	9924775
31372	LG19	20657798
31380	LG05	9583571
31477	LG11	919501
31521	LG21	5299203
31531	LG19	4109053
31550	Contig462931	291
31550	LG08	22254223
31559	LG07	19169526
31590	LG16	12426985
31686	LG03	22201417
31835	LG19	21784209
31873	LG14	13848626
31909	LG12	17409216
31913	LG10	39370
31913	Contig15057	501
31913	Contig307007	1541
31913	LG19	17941804
31913	LG09	26254460
31913	Contig12479	1155
31913	LG15	1492209
31913	LG23	14634767
31913	LG03	4307561
31913	LG08	158676
31913	LG17	27569926
31913	Contig11424	22591
31913	Contig66924	989
31913	Contig61	313983
31913	Contig54	167210
31913	Contig306	6038
31913	LG10	15335
31913	Contig12560	708
31913	LG14	2422163
31913	Contig13136	2816
31913	LG06	3255506
31913	LG17	6555973
31913	LG03	1131622
31913	Contig11832	149113
31913	Contig12683	31997
31913	LG20	2585817
31913	Contig49	58760
31913	Contig73	125916
31913	Contig73	42623
31913	Contig226	12928
31913	LG04	3698925
31913	Contig13136	6885
31913	Contig9554	1263566
31913	Contig353645	199
31913	Contig61	314301
31913	LG14	2463804
31913	Contig13294	54796
31913	Contig706	279
31913	Contig10218	1319
31913	Contig12064	43366
32066	LG17	15082974
32071	LG05	19297103
32106	LG24	215920
32118	LG02	21905006
32143	LG05	11403294
32143	LG05	11405101
32184	LG02	673475
32184	LG02	675341
32184	LG19	25818946
32270	LG04	21773842
32295	LG23	4054008
32314	LG22	682045
32349	LG03	14855743
32419	LG24	5444204
32463	LG16	1713998
32501	LG16	24320884
32524	LG03	20554178
32758	LG15	742821
32808	LG21	15090346
32811	LG02	24771985
32822	LG07	1151247
32832	LG01	17729135
32878	LG16	5144019
32921	LG03	7456414
32942	LG10	21442383
33031	LG16	23591127
33069	LG04	3002725
33099	LG12	15168956
33257	LG06	1688536
33304	LG04	23829360
33315	LG01	3857254
33406	LG17	2947955
33447	LG20	20419718
33471	LG14	9076993
33486	LG17	10410269
33500	LG17	362860
33513	LG23	3974555
33543	LG19	14490048
33548	LG21	18937926
33564	LG02	7215644
33593	LG14	17386361
33604	LG10	11988161
33620	LG06	14966314
33653	LG02	26367738
33686	LG24	3687624
33690	LG16	21738535
33717	LG12	13924848
33785	LG17	27248801
33813	LG17	25977557
33830	LG15	5442602
33839	LG08	12291694
33891	LG14	8300425
33912	LG07	5558325
33990	LG11	13753664
34021	LG02	11768732
34024	LG03	13698865
34053	LG09	13119411
34083	LG07	17211265
34116	LG09	16092999
34119	LG17	19940465
34199	LG03	17929307
34383	LG06	20389260
34433	LG01	7677520
34451	LG08	9440046
34496	LG12	11771915
34674	LG09	1868379
34687	LG12	11771993
34733	Contig495168	1429
34795	LG02	24131662
34802	LG23	17760787
34808	LG02	31502030
34827	LG07	873150
34862	LG01	762396
34923	LG16	11950307
34985	LG02	28192908
35007	LG23	1134360
35019	LG14	18028240
35043	LG07	23272651
35046	LG08	1431524
35047	LG04	18622138
35083	LG11	13395090
35095	LG05	7989186
35109	LG05	7256820
35130	LG21	3943290
35148	LG13	24796440
35165	LG21	17269704
35184	LG07	20127541
35237	Contig357147	925
35237	Contig322990	539
35251	LG02	1205678
35254	LG17	2773321
35265	LG15	3920567
35374	LG05	6089562
35383	LG12	2576918
35485	LG03	1735371
35560	LG16	11046181
35582	LG02	25757338
35584	LG05	2841236
35620	LG08	9101811
35699	LG07	16163787
35740	LG23	16290214
35756	LG20	514799
35766	LG06	18863126
35788	LG14	11318084
35829	LG19	20481545
35928	LG13	17259987
36059	LG19	4495431
36066	LG20	20568843
36072	LG20	9847478
36080	LG17	11836554
36128	LG14	9680060
36139	LG06	12775158
36159	LG07	6767572
36186	LG13	2413476
36195	LG17	11546437
36212	LG17	1988977
36263	LG02	6229842
36292	LG07	14118131
36588	LG06	24190963
36639	LG11	3641474
36737	LG13	26474781
36777	LG13	23217203
36814	LG04	1628176
36833	LG19	16300819
36867	LG18	16171998
36910	LG17	3193724
37007	LG03	13088302
37015	LG01	16530291
37039	LG13	24963819
37040	LG08	8838548
37069	LG05	8364866
37132	LG22	698194
37161	LG12	5342772
37184	LG11	21122298
37193	LG13	7349969
37199	LG08	10741545
37263	LG18	7766311
37291	Contig13578	1113
37308	LG09	19540846
37359	LG19	26028963
37389	LG01	20707965
37417	LG13	24620138
37464	LG14	6448407
37476	LG19	10637195
37490	LG07	15177022
37573	LG12	23380014
37611	LG09	9088983
37637	LG16	1958624
37684	LG02	11701490
37697	LG16	24280823
37718	LG11	15863210
37721	LG09	18450167
37756	LG10	8832886
37786	LG05	11837369
37804	LG24	14383726
38079	LG21	5860739
38129	LG02	28337514
38132	LG06	22996277
38137	LG22	6123904
38199	LG07	13551776
38206	LG03	18878645
38208	LG10	21711176
38314	LG22	3529577
38337	LG17	8768665
38360	LG01	21489602
38376	LG08	18286511
38379	LG09	21423413
38384	LG03	21366958
38457	LG22	7612918
38532	LG23	15291753
38554	LG16	17747117
38636	LG06	22888047
38670	LG07	10046079
38675	LG02	5317176
38679	LG10	15592079
38715	Contig12170	65354
38715	LG16	16085
38738	LG07	11595656
38800	Contig346590	347
38800	LG22	7524500
38803	LG04	3798410
38941	LG10	11673198
39016	LG08	16755092
39047	LG19	2659218
39056	LG02	29205576
39102	LG05	19099814
39141	LG01	650910
39175	LG21	16942322
39274	LG02	12228660
39315	LG11	13597197
39353	LG10	7220871
39354	LG12	7171884
39420	LG17	7984390
39427	LG13	5161743
39493	LG22	6962945
39578	LG19	25241744
39601	LG13	23853304
39854	LG06	9044
39859	LG04	1930357
39875	LG23	2285968
39896	LG20	12935181
39955	LG24	4278391
39957	LG07	12693759
39958	LG14	8900014
39963	LG13	23906399
40190	LG20	18989580
40191	LG12	24935534
40196	LG06	12294008
40230	LG14	19009748
40259	LG21	10401808
40267	LG02	13902007
40288	LG20	13319713
40288	LG20	12751899
40288	LG23	14022444
40288	LG15	12677372
40288	LG07	17856258
40288	LG07	18655127
40288	LG03	11990799
40296	LG24	12562089
40371	LG04	24289796
40382	LG18	3369471
40424	LG20	21693287
40474	LG12	4694990
40511	LG10	8827993
40522	LG19	3141210
40527	LG20	21118534
40598	LG14	19169857
40603	LG07	873072
40605	LG08	25587271
40606	LG03	8108997
40626	LG21	5704774
40653	LG06	676620
40657	LG07	13266859
40701	LG01	838171
40790	LG05	2277212
40897	LG07	2387891
40907	LG18	7979382
40927	LG13	25575255
41013	LG10	20906027
41074	LG16	23030220
41075	LG15	5698625
41079	LG11	1792078
41090	LG11	11138901
41147	LG19	18188551
41155	LG21	1001333
41176	LG16	6649274
41207	LG11	10044498
41256	LG09	25851547
41286	LG19	17059004
41442	LG17	13593836
41470	LG03	17295495
41472	LG21	19517754
41593	LG02	22109075
41637	Contig10952	12071
41637	LG13	2070673
41637	LG01	23775266
41637	LG03	136148
41637	LG09	26899365
41637	LG19	25494119
41637	LG15	431920
41637	Contig12064	68125
41637	LG21	1462866
41637	LG15	854017
41637	LG02	1064056
41637	LG09	26251759
41637	LG02	1138861
41637	LG15	1253546
41637	LG12	810440
41637	LG11	20357722
41637	Contig11251	181986
41637	LG10	1158593
41637	LG13	1458761
41637	Contig307493	2202
41637	LG14	1210341
41637	Contig11395	1018
41637	Contig49	217691
41637	LG02	224164
41637	LG19	26588011
41637	LG01	23934317
41637	LG08	673577
41637	Contig73	160506
41637	LG10	515802
41637	LG12	1554678
41637	Contig10764	148750
41637	LG09	26478805
41637	LG16	89563
41637	Contig12597	9509
41637	Contig11597	1406
41637	Contig11925	75514
41637	Contig11287	462
41637	Contig54	254400
41637	LG07	21481880
41637	Contig11832	10252
41637	Contig61	120325
41637	Contig57666	1747
41637	LG03	4404082
41637	LG01	23327724
41637	LG20	24446843
41637	LG15	1844346
41637	LG11	20493918
41637	Contig10780	83309
41637	Contig308539	770
41637	Contig11251	259614
41637	Contig11670	95263
41637	LG09	26526747
41637	LG15	977799
41637	Contig73160	3262
41637	Contig306	1689
41637	LG12	24409754
41637	Contig10952	305214
41637	LG16	2044184
41637	Contig1190	3339
41637	Contig14365	18488
41637	LG20	2532529
41637	LG21	3883467
41637	Contig11316	259448
41637	LG14	1137344
41637	LG20	398415
41637	LG07	21665579
41637	LG17	27519920
41637	LG03	7119148
41637	LG11	20475933
41637	LG11	20566013
41637	LG13	281830
41637	Contig10495	2620
41637	LG09	26894023
41637	LG03	1301780
41637	LG17	16402356
41637	LG05	1019089
41637	Contig10780	150369
41637	Contig61	284288
41637	Contig104	70372
41637	LG21	1341724
41637	Contig10160	38515
41637	Contig661	1371
41637	Contig10855	88791
41637	Contig54	41553
41637	LG16	178757
41637	Contig10044	902
41637	LG11	20541686
41637	Contig12064	24190
41637	LG19	26769723
41637	LG12	3497474
41637	LG02	5177087
41637	LG09	26563563
41637	Contig272518	1375
41637	Contig11316	28421
41637	Contig10782	140031
41637	Contig11030	25609
41637	LG06	2697466
41637	LG11	21308841
41637	LG08	26021277
41637	LG13	108861
41653	LG17	13138615
41660	LG04	6949056
41729	LG12	23973905
41733	LG07	22085795
41746	LG19	16488536
41801	LG07	479290
41839	LG13	18134940
41847	LG15	2749883
41866	LG11	2674037
41929	LG04	7052302
41932	LG10	18562847
41971	LG07	13118777
42004	LG14	17740723
42006	LG21	11292874
42024	LG16	21668311
42100	LG22	3851358
42186	LG14	17386200
42210	LG13	19397894
42294	LG04	21134781
42296	LG15	6440615
42364	LG22	1814884
42376	LG06	23541557
42410	LG18	2865000
42423	LG22	7938622
42539	LG20	22772664
42573	LG16	21603319
42617	LG09	13143986
42708	LG13	8808340
42767	LG13	20890242
