Loci	LG	cM
59208	X	26.57
42873	X	26.57
19009	X	26.57
9336	X	26.57
19467	X	27.62
38679	X	27.62
64026	X	27.62
46370	X	28.67
14327	X	28.67
59915	X	30.78
11399	X	30.78
58083	X	30.78
3460	X	32.90
22681	X	32.90
64122	X	35.02
63379	X	35.02
3782	X	35.02
49540	X	38.20
21940	X	38.20
55180	X	38.20
60409	X	38.20
17315	X	38.20
5388	X	38.20
20088	X	39.24
51980	X	39.24
49635	X	39.24
25022	X	39.24
41932	X	39.24
6443	X	42.40
6468	X	42.40
58658	X	42.40
64221	X	42.40
64384	X	42.40
27927	X	43.44
32942	X	43.44
15703	X	43.44
30870	X	46.61
46185	X	46.61
24110	X	46.61
43884	X	47.67
49955	X	47.67
50893	X	47.67
41013	X	48.76
55914	X	49.57
38208	X	49.57
13379	XI	1.00
3614	XI	1.00
23988	XI	1.00
2627	XI	3.18
29847	XI	6.36
31477	XI	7.41
57755	XI	8.46
47532	XI	10.58
19410	XI	10.58
55123	XI	10.58
29040	XI	10.58
7354	XI	10.58
41079	XI	11.62
64459	XI	15.87
56675	XI	16.91
41866	XI	16.91
2448	XI	16.91
46577	XI	18.01
6183	XI	18.01
30850	XI	19.10
19577	XI	19.10
36639	XI	19.10
4187	XI	19.10
59862	XI	22.26
9187	XI	22.26
10843	XI	22.26
60004	XI	22.26
6547	XI	22.26
26084	XI	22.26
52050	XI	22.26
64419	XI	22.26
22535	XI	23.32
20175	XI	23.32
7734	XI	23.32
49045	XI	23.32
57403	XI	26.49
61104	XI	26.49
12892	XI	27.54
57250	XI	27.54
8244	XI	27.54
25253	XI	27.54
58031	XI	27.54
41207	XI	28.59
58769	XI	28.59
49889	XI	28.59
19459	XI	29.65
41090	XI	29.65
57862	XI	31.75
14242	XI	31.75
50389	XI	31.75
14237	XI	31.75
17798	XI	32.89
14860	XI	32.89
2424	XI	32.89
35083	XI	34.02
39315	XI	36.29
37718	XI	36.29
33990	XI	36.29
49784	XI	36.29
19077	XI	36.85
15742	XI	37.37
63614	XI	37.37
64776	XI	37.37
2574	XI	37.37
54189	XI	37.37
53814	XI	38.42
59498	XI	40.53
27959	XI	42.64
37184	XI	43.41
30358	XI	43.41
57287	XII	1.00
51803	XII	1.00
35383	XII	2.05
18859	XII	2.05
2789	XII	2.05
23385	XII	2.05
27662	XII	2.05
55206	XII	2.05
63366	XII	2.05
9249	XII	4.16
27354	XII	4.16
37161	XII	4.16
40474	XII	4.16
19289	XII	4.16
4635	XII	4.16
53596	XII	4.16
34687	XII	7.32
58890	XII	7.32
6586	XII	7.32
39354	XII	7.32
53372	XII	7.32
14953	XII	7.32
19713	XII	7.32
34496	XII	8.65
2509	XII	8.65
21951	XII	12.60
14056	XII	12.60
57357	XII	12.60
29095	XII	12.60
49536	XII	13.63
57288	XII	13.63
4785	XII	13.63
59119	XII	13.63
48445	XII	13.63
53696	XII	13.63
14236	XII	13.63
64599	XII	15.74
59827	XII	15.74
53411	XII	15.74
18212	XII	15.74
33717	XII	16.79
13829	XII	16.79
29341	XII	16.79
33099	XII	16.79
26171	XII	16.79
11967	XII	16.79
21183	XII	16.79
56493	XII	16.79
24995	XII	16.79
18323	XII	17.84
65376	XII	17.84
31136	XII	19.50
27416	XII	21.15
63480	XII	21.15
31909	XII	21.15
60798	XII	21.15
61882	XII	21.15
20836	XII	21.15
2525	XII	21.15
60921	XII	22.32
11953	XII	22.32
61224	XII	22.32
3576	XII	22.32
20680	XII	24.44
61099	XII	24.44
62390	XII	26.55
24483	XII	26.55
58085	XII	27.60
3235	XII	27.60
64059	XII	27.60
27592	XII	28.70
55199	XII	29.79
8417	XII	29.79
37573	XII	29.79
28705	XII	29.79
61730	XII	29.79
44651	XII	29.79
41729	XII	32.96
17658	XII	32.96
29237	XII	32.96
21247	XII	32.96
50379	XII	35.81
17609	XII	37.24
40191	XII	37.24
22904	XII	37.24
1715	XIII	1.00
58910	XIII	1.00
36186	XIII	1.85
3863	XIII	1.85
44348	XIII	1.85
10224	XIII	1.85
45415	XIII	1.85
24745	XIII	2.93
14653	XIII	6.11
8000	XIII	6.11
39427	XIII	6.11
54772	XIII	7.16
4816	XIII	7.16
55164	XIII	8.22
59610	XIII	8.22
3129	XIII	9.28
42708	XIII	9.28
8523	XIII	9.28
15586	XIII	9.28
37193	XIII	9.28
46072	XIII	9.28
48940	XIII	11.39
22706	XIII	12.71
2070	XIII	16.40
25068	XIII	17.73
41839	XIII	18.32
28927	XIII	19.38
8831	XIII	19.86
35928	XIII	19.86
42210	XIII	19.86
53546	XIII	20.92
49570	XIII	20.92
18500	XIII	20.92
36777	XIII	23.02
1121	XIII	23.02
25676	XIII	23.02
47910	XIII	23.02
42767	XIII	23.02
39963	XIII	27.25
61657	XIII	27.25
18430	XIII	27.25
39601	XIII	27.25
29427	XIII	28.29
35148	XIII	31.75
37417	XIII	31.75
7564	XIII	32.90
37039	XIII	34.22
22701	XIII	41.02
32538	XIII	41.02
40927	XIII	41.02
30539	XIII	47.22
13191	XIII	48.43
17626	XIII	48.43
5872	XIII	49.48
55789	XIII	49.48
36737	XIII	49.48
44984	XXIV	1.00
54418	XXIV	1.00
45512	XXIV	8.78
32106	XXIV	10.95
61209	XXIV	10.95
13121	XXIV	13.07
57667	XXIV	15.72
24930	XXIV	18.33
8034	XXIV	18.33
17100	XXIV	18.33
43664	XXIV	25.76
22448	XXIV	25.76
33686	XXIV	25.76
17784	XXIV	25.76
39955	XXIV	26.82
17394	XXIV	28.89
60820	XXIV	31.00
62694	XXIV	31.93
32419	XXIV	32.99
28007	XXIV	32.99
21584	XXIV	34.05
51802	XXIV	34.05
23387	XXIV	35.07
64078	XXIV	35.07
2451	XXIV	38.42
65454	XXIV	38.42
60603	XXIV	39.57
28681	XXIV	39.57
5639	XXIV	39.57
18435	XXIV	45.32
40296	XXIV	45.32
10040	XXIV	45.32
5963	XXIV	48.75
8395	XXIV	48.75
56721	XXIV	49.75
2584	XXIV	51.98
37804	XXIV	51.98
59271	XXIV	51.98
32832	XV	1.00
20311	XV	1.79
1800	XV	1.79
32758	XV	1.79
59625	XV	4.97
41847	XV	4.97
10197	XV	6.02
35265	XV	9.19
49265	XV	9.19
26015	XV	9.19
55277	XV	9.19
46322	XV	13.94
19939	XV	13.94
33830	XV	13.94
41075	XV	13.94
42296	XV	15.10
62687	XV	15.10
3980	XV	15.10
28096	XV	21.68
60882	XV	21.68
52689	XV	33.22
50515	XV	33.22
53140	XV	33.22
56198	XV	43.06
45170	XV	43.06
5535	XV	43.06
27849	XV	45.05
53330	XVI	1.00
27275	XVI	1.00
25907	XVI	1.00
38715	XVI	1.00
32463	XVI	1.00
26275	XVI	1.00
8890	XVI	1.00
44727	XVI	2.05
37637	XVI	3.10
7963	XVI	4.16
30120	XVI	4.16
16064	XVI	5.22
61323	XVI	6.27
32878	XVI	7.32
11186	XVI	8.38
41176	XVI	8.38
14433	XVI	8.38
46675	XVI	9.43
20630	XVI	9.43
23860	XVI	10.48
14904	XVI	10.48
59941	XVI	10.48
48249	XVI	10.48
26074	XVI	10.48
10218	XVI	10.48
60959	XVI	10.48
64995	XVI	11.53
35560	XVI	11.53
8117	XVI	11.53
65510	XVI	11.53
62010	XVI	11.53
59053	XVI	11.53
6954	XVI	11.53
15435	XVI	11.53
34923	XVI	12.96
31590	XVI	14.38
1609	XVI	15.78
9819	XVI	17.89
53534	XVI	17.89
3009	XVI	17.89
30181	XVI	17.89
65499	XVI	21.05
61482	XVI	21.05
55492	XVI	21.05
55097	XVI	21.05
61827	XVI	21.05
24489	XVI	23.16
50001	XVI	23.16
15829	XVI	24.22
62676	XVI	24.22
11770	XVI	25.27
26269	XVI	27.38
38554	XVI	27.38
65458	XVI	27.38
26677	XVI	28.43
45839	XVI	28.43
9232	XVI	29.84
56042	XVI	32.67
42024	XVI	32.67
42573	XVI	32.67
62803	XVI	32.67
64730	XVI	32.67
48702	XVI	34.78
46416	XVI	34.78
12222	XVI	37.95
41074	XVI	37.95
34733	XVI	37.95
61754	XVI	37.95
23784	XVI	37.95
33690	XVI	37.95
49047	XVI	37.95
22733	XVI	37.95
30370	XVI	41.92
20648	XVI	43.23
33031	XVI	43.23
54111	XVI	43.23
63870	XVI	43.23
13257	XVI	43.23
50972	XVI	45.34
3785	XVI	45.34
3058	XVI	45.34
20551	XVI	46.39
57011	XVI	48.50
32501	XVI	48.50
37697	XVI	48.50
61134	XVI	48.50
33500	XVII	1.00
59472	XVII	6.35
27283	XVII	6.35
57086	XVII	6.35
10025	XVII	14.72
36212	XVII	18.54
44652	XVII	21.40
35254	XVII	22.45
36910	XVII	22.45
6190	XVII	22.45
48443	XVII	22.45
33406	XVII	22.45
47795	XVII	23.41
55344	XVII	24.46
10	XVII	24.46
24964	XVII	24.46
43585	XVII	25.42
28361	XVII	25.42
47125	XVII	25.42
27289	XVII	25.42
48727	XVII	25.42
52260	XVII	27.53
38337	XVII	34.98
17790	XVII	34.98
39420	XVII	34.98
27506	XVII	34.98
63968	XVII	36.03
41653	XVII	36.03
14001	XVII	36.03
41442	XVII	36.03
20437	XVII	36.03
36195	XVII	36.03
25471	XVII	36.03
8795	XVII	37.09
13735	XVII	37.09
33486	XVII	37.09
18913	XVII	37.09
36080	XVII	37.09
48330	XVII	37.09
27894	XVII	38.14
16425	XVII	38.14
54701	XVII	38.14
27478	XVII	39.19
14957	XVII	39.19
43784	XVII	42.36
5052	XVII	42.36
32066	XVII	43.41
63670	XVII	43.41
15117	XVII	43.41
4749	XVII	44.47
24239	XVII	44.47
13985	XVII	44.47
44918	XVII	44.47
21534	XVII	44.47
18624	XVII	44.47
24341	XVII	44.47
57626	XVII	44.47
58629	XVII	48.69
26886	XVII	48.69
20128	XVII	48.69
18049	XVII	48.69
49776	XVII	48.69
8461	XVII	48.69
62970	XVII	48.69
44434	XVII	48.69
54151	XVII	48.69
25703	XVII	48.69
34119	XVII	48.69
17656	XVII	50.75
62615	XVII	50.75
11289	XVII	51.76
54356	XVII	53.88
7283	XVII	53.88
57583	XVII	53.88
2647	XVII	55.99
18724	XVII	55.99
9644	XVII	55.99
33813	XVII	55.99
53208	XVII	55.99
51410	XVII	55.99
44522	XVII	55.99
42857	XVII	55.99
58637	XVII	55.99
33785	XVII	57.05
48044	XVII	57.05
60825	XVII	57.05
27113	XVII	57.05
50683	XVII	57.05
27019	XVII	57.05
46591	XVIII	0.00
62398	XVIII	0.00
2062	XVIII	2.20
4391	XVIII	4.30
24370	XVIII	4.30
48114	XVIII	5.35
42878	XVIII	8.52
65259	XVIII	8.52
58886	XVIII	9.58
2453	XVIII	9.58
62646	XVIII	13.82
42410	XVIII	13.82
40382	XVIII	15.23
17464	XVIII	18.07
47709	XVIII	18.07
43877	XVIII	21.25
60709	XVIII	22.30
1638	XVIII	22.30
49998	XVIII	22.30
51152	XVIII	22.30
50509	XVIII	22.30
3492	XVIII	26.93
18726	XVIII	26.93
3853	XVIII	26.93
9642	XVIII	26.93
40907	XVIII	26.93
19724	XVIII	26.93
17094	XVIII	33.10
37263	XVIII	33.10
9277	XVIII	33.10
21661	XVIII	36.62
1202	XVIII	36.62
10208	XVIII	37.79
25054	XVIII	37.79
63140	XVIII	38.96
50838	XVIII	41.31
10245	XVIII	41.31
64313	XVIII	43.65
17031	XVIII	43.65
7085	XVIII	43.65
53260	XVIII	43.65
58530	XVIII	43.65
36867	XVIII	46.42
26124	XVIII	46.42
56389	XVIII	46.42
47414	XVIII	47.78
9494	XVIII	52.06
13345	XVIII	55.15
64102	XVIII	55.15
53196	XIX	1.00
25929	XIX	1.00
62343	XIX	1.00
63610	XIX	2.08
12141	XIX	7.45
30664	XIX	9.58
23496	XIX	9.58
56649	XIX	9.58
6389	XIX	11.69
23996	XIX	11.69
24247	XIX	13.80
53048	XIX	13.80
10996	XIX	13.80
39047	XIX	13.80
56523	XIX	13.80
4357	XIX	13.80
40522	XIX	14.85
22371	XIX	14.85
12977	XIX	14.85
59378	XIX	18.02
61689	XIX	19.07
13818	XIX	19.07
56611	XIX	19.07
16872	XIX	20.12
63948	XIX	20.12
47365	XIX	22.23
36059	XIX	22.23
54518	XIX	22.23
58401	XIX	22.23
31531	XIX	23.29
13288	XIX	25.40
21890	XIX	25.40
62577	XIX	25.40
5926	XIX	27.51
4273	XIX	27.51
26507	XIX	27.51
52191	XIX	27.51
63145	XIX	32.79
6038	XIX	32.79
63779	XIX	32.79
37476	XIX	32.79
61774	XIX	32.79
61230	XIX	32.79
18876	XIX	32.79
7514	XIX	32.79
2325	XIX	38.06
45574	XIX	38.06
59014	XIX	40.18
23118	XIX	41.24
51524	XIX	42.29
30651	XIX	42.29
44936	XIX	42.29
18894	XIX	42.29
28650	XIX	43.34
52858	XIX	43.34
23088	XIX	43.34
49266	XIX	43.34
33543	XIX	48.16
48892	XIX	49.77
41286	XIX	49.77
19310	XIX	49.77
20065	XIX	49.77
5822	XIX	49.77
36833	XIX	49.77
41746	XIX	49.77
31835	XIX	50.31
41147	XIX	50.85
35829	XIX	52.96
31372	XIX	52.96
18581	XIX	52.96
11277	XIX	52.96
14866	XIX	52.96
10142	XIX	52.96
29648	XIX	52.96
4115	XIX	54.02
59457	XIX	54.02
53247	XIX	55.19
50576	XIX	55.19
39578	XIX	55.19
23075	XIX	55.19
29885	XIX	58.48
1107	XIX	58.48
64822	XIX	58.48
37359	XIX	58.48
65437	XIX	58.48
7402	XIX	58.48
56559	XIX	58.48
35756	XX	1.00
61753	XX	1.00
59270	XX	1.00
61438	XX	4.28
62088	XX	4.28
48899	XX	6.39
52380	XX	6.39
52925	XX	7.45
29969	XX	9.56
26376	XX	9.56
6219	XX	9.56
13182	XX	11.67
4455	XX	11.67
28131	XX	11.67
44109	XX	11.67
17110	XX	11.67
16972	XX	12.72
50762	XX	12.72
19050	XX	12.72
21832	XX	12.72
36072	XX	12.72
12943	XX	12.72
3205	XX	12.72
39896	XX	12.72
51391	XX	12.72
53013	XX	12.72
30080	XX	13.67
26070	XX	13.67
61885	XX	15.79
40288	XX	16.75
28028	XX	16.75
16871	XX	17.81
47500	XX	18.86
23226	XX	19.91
30523	XX	22.03
27064	XX	22.03
50614	XX	23.06
65165	XX	23.06
27316	XX	25.74
40190	XX	28.42
54382	XX	28.42
15392	XX	28.42
9301	XX	28.42
50480	XX	30.53
26012	XX	30.53
46908	XX	30.53
36066	XX	31.58
46897	XX	32.63
10490	XX	32.63
33447	XX	32.63
40527	XX	33.69
53257	XX	33.69
10372	XX	37.89
40424	XX	37.89
63251	XX	37.89
42539	XX	41.23
50178	XX	41.23
52503	XXI	1.00
41155	XXI	1.00
43289	XXI	2.06
52424	XXI	2.06
28561	XXI	2.06
62922	XXI	2.06
65063	XXI	3.12
50902	XXI	3.12
24242	XXI	3.12
60465	XXI	3.12
15385	XXI	4.25
5266	XXI	6.44
46699	XXI	6.44
35130	XXI	6.44
31521	XXI	6.44
38079	XXI	6.44
40626	XXI	6.44
23030	XXI	7.50
4004	XXI	9.61
59895	XXI	9.61
25179	XXI	9.61
16318	XXI	10.67
45493	XXI	10.67
64847	XXI	10.67
13807	XXI	11.73
15071	XXI	11.73
40259	XXI	12.78
58777	XXI	12.78
20007	XXI	13.84
16781	XXI	13.84
56609	XXI	13.84
42006	XXI	13.84
60179	XXI	13.84
29610	XXI	13.84
47761	XXI	13.84
54614	XXI	13.84
20783	XXI	14.89
57905	XXI	14.89
57050	XXI	14.89
59535	XXI	14.89
14636	XXI	14.89
